,0,1,accuracy,macro avg,weighted avg
precision,0.7587628865979381,0.8156788566624632,0.8104138851802403,0.7872208716302007,0.8021636205895405
recall,0.2955823293172691,0.9707353676838419,0.8104138851802403,0.6331588485005555,0.8104138851802403
f1-score,0.4254335260115607,0.8864778437642759,0.8104138851802403,0.6559556848879182,0.7769985045306061
support,1245.0,3998.0,0.8104138851802403,5243.0,5243.0
precision,0.9087411840136781,0.8226950354609929,0.8994850276559222,0.8657181097373354,0.8941184263633934
recall,0.9770220588235294,0.5207631874298541,0.8994850276559222,0.7488926231266917,0.8994850276559222
f1-score,0.9416454434724836,0.6378006872852233,0.8994850276559222,0.7897230653788534,0.8900098001837464
support,4352.0,891.0,0.8994850276559222,5243.0,5243.0
precision,0.9954224680526416,0.0,0.9954224680526416,0.4977112340263208,0.9908658899040123
recall,1.0,0.0,0.9954224680526416,0.5,0.9954224680526416
f1-score,0.9977059835595489,0.0,0.9954224680526416,0.49885299177977444,0.9931389525457344
support,5219.0,24.0,0.9954224680526416,5243.0,5243.0
precision,0.7680874929893438,0.7972570065593322,0.7774175090596986,0.7826722497743379,0.780126941275717
recall,0.8895745371873985,0.6178373382624769,0.7774175090596986,0.7537059377249378,0.7774175090596986
f1-score,0.8243792325056434,0.6961728716480083,0.7774175090596986,0.7602760520768259,0.7714632369122956
support,3079.0,2164.0,0.7774175090596986,5243.0,5243.0
precision,0.9351596373669688,0.6272189349112426,0.9252336448598131,0.7811892861391057,0.9096104850556507
recall,0.9868968386023295,0.24367816091954023,0.9252336448598131,0.6152874997609349,0.9252336448598131
f1-score,0.9603319166160698,0.3509933774834437,0.9252336448598131,0.6556626470497567,0.9097764589539121
support,4808.0,435.0,0.9252336448598131,5243.0,5243.0
precision,0.9613583138173302,0.680672268907563,0.9549876025176426,0.8210152913624467,0.9464219402659616
recall,0.9923448831587429,0.2903225806451613,0.9549876025176426,0.6413337319019521,0.9549876025176426
f1-score,0.9766058683584455,0.407035175879397,0.9549876025176426,0.6918205221189213,0.9462968423806362
support,4964.0,279.0,0.9549876025176426,5243.0,5243.0
precision,0.9786579503941549,0.5952380952380952,0.9755864962807553,0.7869480228161251,0.9687122894555272
recall,0.9966712355590366,0.18382352941176472,0.9755864962807553,0.5902473824854007,0.9755864962807553
f1-score,0.987582460225068,0.2808988764044944,0.9755864962807553,0.6342406683147812,0.9692515490292645
support,5107.0,136.0,0.9755864962807553,5243.0,5243.0
precision,0.981679389312977,0.0,0.9811176807171467,0.4908396946564885,0.9637047142464034
recall,0.9994171361958423,0.0,0.9811176807171467,0.49970856809792114,0.9811176807171467
f1-score,0.9904688552998941,0.0,0.9811176807171467,0.4952344276499471,0.9723332439878991
support,5147.0,96.0,0.9811176807171467,5243.0,5243.0
precision,0.9784925402053866,0.573170731707317,0.9721533473202365,0.7758316359563517,0.9662779978169268
recall,0.9931170108161259,0.2974683544303797,0.9721533473202365,0.6452926826232528,0.9721533473202365
f1-score,0.9857505367948468,0.39166666666666666,0.9721533473202365,0.6887086017307568,0.9678475706532765
support,5085.0,158.0,0.9721533473202365,5243.0,5243.0
precision,1.0,,1.0,1.0,1.0
recall,1.0,,1.0,1.0,1.0
f1-score,1.0,,1.0,1.0,1.0
support,5243.0,,1.0,5243.0,5243.0
precision,0.9783925686591276,0.7835051546391752,0.9675758153728782,0.8809488616491514,0.9659402925392184
recall,0.9871638141809291,0.6805970149253732,0.9675758153728782,0.8338804145531511,0.9675758153728782
f1-score,0.9827586206896551,0.7284345047923323,0.9675758153728782,0.8555965627409937,0.966508653337833
support,4908.0,335.0,0.9675758153728782,5243.0,5243.0
precision,0.9741508224738303,0.8238434163701067,0.9580392904825482,0.8989971194219686,0.9574085899419641
recall,0.978750804893754,0.7928082191780822,0.9580392904825482,0.8857795120359181,0.9580392904825482
f1-score,0.9764453961456102,0.8080279232111693,0.9580392904825482,0.8922366596783897,0.9576859446495748
support,4659.0,584.0,0.9580392904825482,5243.0,5243.0
precision,0.9612704918032787,0.768595041322314,0.9479305740987984,0.8649327665627964,0.9440719202173371
recall,0.9824083769633508,0.5961538461538461,0.9479305740987984,0.7892811115585985,0.9479305740987984
f1-score,0.9717244950802694,0.6714801444043321,0.9479305740987984,0.8216023197423008,0.9449241219892265
support,4775.0,468.0,0.9479305740987984,5243.0,5243.0
precision,0.9928805079853762,0.717391304347826,0.99046347510967,0.8551359061666011,0.9892024144788669
recall,0.9974869514788324,0.4714285714285714,0.99046347510967,0.7344577614537019,0.99046347510967
f1-score,0.9951783992285439,0.5689655172413792,0.99046347510967,0.7820719582349616,0.9894879735678341
support,5173.0,70.0,0.99046347510967,5243.0,5243.0
precision,0.9843840370156159,0.5535714285714286,0.9797825672325005,0.7689777327935223,0.975181097449385
recall,0.9951276554277918,0.2767857142857143,0.9797825672325005,0.635956684856753,0.9797825672325005
f1-score,0.9897266912192285,0.36904761904761907,0.9797825672325005,0.6793871551334238,0.9764678592369244
support,5131.0,112.0,0.9797825672325005,5243.0,5243.0
precision,0.9902467010900746,0.8571428571428571,0.9898912836162502,0.9236947791164658,0.988647322457865
recall,0.9996138996138996,0.19047619047619047,0.9898912836162502,0.5950450450450451,0.9898912836162502
f1-score,0.9949082524738206,0.31168831168831174,0.9898912836162502,0.6532982820810662,0.9866986670705234
support,5180.0,63.0,0.9898912836162502,5243.0,5243.0
precision,0.9749083188573634,0.6451612903225806,0.9710089643333969,0.810034804589972,0.9642165403239069
recall,0.9956633155923517,0.23529411764705882,0.9710089643333969,0.6154787166197052,0.9710089643333969
f1-score,0.9851765164813732,0.3448275862068966,0.9710089643333969,0.6650020513441348,0.9644137245403736
support,5073.0,170.0,0.9710089643333969,5243.0,5243.0
precision,0.9773844641101278,0.8354430379746836,0.9731069998092695,0.9064137510424057,0.9706975420701786
recall,0.9947958366693355,0.5344129554655871,0.9731069998092695,0.7646043960674613,0.9731069998092695
f1-score,0.9860132923321099,0.6518518518518519,0.9731069998092695,0.8189325720919809,0.9702708021931391
support,4996.0,247.0,0.9731069998092695,5243.0,5243.0
precision,0.882387590810917,0.62,0.8748807934388709,0.7511937954054585,0.8477562322678778
recall,0.987475280158207,0.13439306358381503,0.8748807934388709,0.560934171871011,0.8748807934388709
f1-score,0.931978432185815,0.22090261282660337,0.8748807934388709,0.5764405225062091,0.8381267314426194
support,4551.0,692.0,0.8748807934388709,5243.0,5243.0
precision,0.9394230769230769,0.4883720930232558,0.935723822239176,0.7138975849731664,0.9105172728814328
recall,0.995516608926024,0.0625,0.935723822239176,0.5290083044630121,0.935723822239176
f1-score,0.9666567725338874,0.11081794195250659,0.935723822239176,0.5387373572431969,0.9118099582910218
support,4907.0,336.0,0.935723822239176,5243.0,5243.0
precision,0.9625410310870824,0.640625,0.9586114819759679,0.8015830155435413,0.9481122179447089
recall,0.9954073482428115,0.17446808510638298,0.9586114819759679,0.5849377166745973,0.9586114819759679
f1-score,0.9786983410228723,0.27424749163879597,0.9586114819759679,0.6264729163308341,0.9471236796447953
support,5008.0,235.0,0.9586114819759679,5243.0,5243.0
precision,0.9672195121951219,0.8559322033898306,0.9647148579057792,0.9115758577924762,0.9615097494507726
recall,0.9965822275834338,0.3754646840148699,0.9647148579057792,0.6860234557991518,0.9647148579057792
f1-score,0.9816813545895632,0.5219638242894056,0.9647148579057792,0.7518225894394843,0.9580948553237341
support,4974.0,269.0,0.9647148579057792,5243.0,5243.0
precision,0.9829076243518341,0.7222222222222222,0.9811176807171467,0.8525649232870282,0.9771897488521384
recall,0.9980499219968799,0.22608695652173913,0.9811176807171467,0.6120684392593095,0.9811176807171467
f1-score,0.9904208998548623,0.3443708609271523,0.9811176807171467,0.6673958803910073,0.976250433618607
support,5128.0,115.0,0.9811176807171467,5243.0,5243.0
precision,0.9933218851364244,0.0,0.9929429715811559,0.4966609425682122,0.9866908979192253
recall,0.9996159754224271,0.0,0.9929429715811559,0.49980798771121354,0.9929429715811559
f1-score,0.9964589912910328,0.0,0.9929429715811559,0.4982294956455164,0.9898070621101849
support,5208.0,35.0,0.9929429715811559,5243.0,5243.0
precision,0.9902578796561604,0.125,0.9889376311272172,0.5576289398280803,0.9816762642180294
recall,0.9986515122327104,0.019230769230769232,0.9889376311272172,0.5089411407317398,0.9889376311272172
f1-score,0.9944369844619221,0.03333333333333334,0.9889376311272172,0.5138851588976278,0.9849047720151003
support,5191.0,52.0,0.9889376311272172,5243.0,5243.0
precision,0.9952308279282717,0.0,0.9950410070570285,0.49761541396413583,0.9904853061471909
recall,0.9998083556918359,0.0,0.9950410070570285,0.49990417784591795,0.9950410070570285
f1-score,0.9975143403441682,0.0,0.9950410070570285,0.4987571701720841,0.9927579301765915
support,5218.0,25.0,0.9950410070570285,5243.0,5243.0
precision,0.9881588999236058,0.2857142857142857,0.9872210566469578,0.6369365928189458,0.9795843328228245
recall,0.9990345626568836,0.03125,0.9872210566469578,0.5151422813284419,0.9872210566469578
f1-score,0.9935669707153145,0.056338028169014086,0.9872210566469578,0.5249524994421643,0.9821264495779956
support,5179.0,64.0,0.9872210566469578,5243.0,5243.0
precision,0.9591954022988506,0.5217391304347826,0.9572763684913218,0.7404672663668166,0.9404222454860687
recall,0.997807891590275,0.05333333333333334,0.9572763684913218,0.5255706124618041,0.9572763684913218
f1-score,0.9781207267044344,0.09677419354838711,0.9572763684913218,0.5374474601264108,0.9402983025274155
support,5018.0,225.0,0.9572763684913218,5243.0,5243.0
precision,0.8891074502089993,0.8681972789115646,0.8844173183292008,0.878652364560282,0.8832368089444896
recall,0.9588968443383717,0.6936141304347826,0.8844173183292008,0.8262554873865772,0.8844173183292008
f1-score,0.9226843582546568,0.7711480362537765,0.8844173183292008,0.8469161972542166,0.8801397338058115
support,3771.0,1472.0,0.8844173183292008,5243.0,5243.0
precision,0.9625528488020938,0.8876811594202898,0.9586114819759679,0.9251170041111918,0.9563980332149189
recall,0.9935577722360764,0.568445475638051,0.9586114819759679,0.7810016239370637,0.9586114819759679
f1-score,0.9778095919828204,0.693069306930693,0.9586114819759679,0.8354394494567567,0.9544025611116652
support,4812.0,431.0,0.9586114819759679,5243.0,5243.0
precision,0.9652605459057072,0.7641277641277642,0.9496471485790577,0.8646941550167357,0.946885073376309
recall,0.9798488664987406,0.6492693110647182,0.9496471485790577,0.8145590887817293,0.9496471485790577
f1-score,0.9724999999999999,0.7020316027088037,0.9496471485790577,0.8372658013544019,0.9477900319850309
support,4764.0,479.0,0.9496471485790577,5243.0,5243.0
precision,0.9923371647509579,0.5652173913043478,0.99046347510967,0.7787772780276528,0.9880195320992946
recall,0.9980732177263969,0.24528301886792453,0.99046347510967,0.6216781182971607,0.99046347510967
f1-score,0.9951969260326609,0.3421052631578947,0.99046347510967,0.6686510945952777,0.9885950076400682
support,5190.0,53.0,0.99046347510967,5243.0,5243.0
precision,0.9807006503041745,0.8886554621848739,0.9723440778180431,0.9346780562445243,0.971659400660566
recall,0.9887901861252115,0.8213592233009709,0.9723440778180431,0.9050747047130911,0.9723440778180431
f1-score,0.9847288046340179,0.8536831483350151,0.9723440778180431,0.9192059764845165,0.9718566869544477
support,4728.0,515.0,0.9723440778180431,5243.0,5243.0
precision,0.9872856867655557,0.7307692307692307,0.9847415601754721,0.8590274587673932,0.9821974335853884
recall,0.9972757345787118,0.36538461538461536,0.9847415601754721,0.6813301749816636,0.9847415601754721
f1-score,0.9922555663117134,0.4871794871794871,0.9847415601754721,0.7397175267456002,0.9822368914633917
support,5139.0,104.0,0.9847415601754721,5243.0,5243.0
precision,0.9552296410652258,0.5737704918032787,0.9507915315658974,0.7645000664342523,0.9358038175189852
recall,0.9947749196141479,0.13108614232209737,0.9507915315658974,0.5629305309681226,0.9507915315658974
f1-score,0.9746012994683994,0.21341463414634146,0.9507915315658974,0.5940079668073704,0.9358378358710335
support,4976.0,267.0,0.9507915315658974,5243.0,5243.0
precision,0.8679046212281072,0.7619047619047619,0.8577150486362769,0.8149046915664345,0.8474850412325744
recall,0.9716513111268604,0.3801980198019802,0.8577150486362769,0.6759246654644203,0.8577150486362769
f1-score,0.9168524297815425,0.5072655217965655,0.8577150486362769,0.712058975789054,0.8379505077779518
support,4233.0,1010.0,0.8577150486362769,5243.0,5243.0
